"","Biospecimen","Organ","Diagnosis","Assays","hasBoth"
"41","HTA11_99999959460_84226","Not Reported","Not Reported","Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium",TRUE
"42","HTA11_99999959600_84594","Not Reported","Not Reported","Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium",TRUE
"43","HTA11_99999959667_84596","Not Reported","Not Reported","Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium",TRUE
"44","HTA11_99999971397_80384","Not Reported","Not Reported","Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium",TRUE
"45","HTA11_99999971662_82457","Not Reported","Not Reported","scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium",TRUE
"46","HTA11_99999973458_83798","Not Reported","Not Reported","scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium",TRUE
"47","HTA11_99999973899_84307","Not Reported","Not Reported","scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium",TRUE
"48","HTA11_99999974143_84620","Not Reported","Not Reported","scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium",TRUE
"49","HTA6_1002_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq",TRUE
"50","HTA6_1002_2","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq",TRUE
